,heading1label,heading1titletext,heading2titletext,marginalnotetext_x,sectionlabel,sectiontext,subsectionlabel,subsectiontext,marginalnotetext_y,paragraphLabel,paragraphText,subparagraphLabel,subparagraphText,clauseLabel,clauseText,subclauseLabel,subclauseText
5298,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.026,,(6),The application shall be made to a court of criminal jurisdiction if,Jurisdiction,(b),it relates to an obligation under section 227.06 of the National Defence Act and the Chief Military Judge does not have jurisdiction to receive the application under subsection 227.12(6) of that Act.,,,,,,
1911,PART XV,Special Procedure and Powers,Sex Offender Information,Termination order,490.027,,(1),"The court shall make an order terminating the obligation if it is satisfied that the person has established that the impact on them of continuing the obligation, including on their privacy or liberty, would be grossly disproportionate to the public interest in protecting society through the effective prevention or investigation of crimes of a sexual nature, to be achieved by the registration of information relating to sex offenders under the Sex Offender Information Registration Act.",,,,,,,,,
1912,PART XV,Special Procedure and Powers,Sex Offender Information,Termination order,490.027,,(2),The court shall give reasons for its decision.,,,,,,,,,
1913,PART XV,Special Procedure and Powers,Sex Offender Information,Termination order,490.027,,(3),"If the court makes a termination order, it shall cause the Commissioner of the Royal Canadian Mounted Police and the Attorney General of the province, or the minister of justice of the territory, to be notified of the decision.",,,,,,,,,
395,PART XV,Special Procedure and Powers,Sex Offender Information,Deemed application,490.028,"If a person is eligible to apply for both an exemption order under section 490.023 and a termination order under section 490.026 within one year after they are served with a notice under section 490.021 of this Act or section 227.08 of the National Defence Act, an application within that period for one order is deemed to be an application for both.",,,,,,,,,,,
1914,PART XV,Special Procedure and Powers,Sex Offender Information,Appeal,490.029,,(1),"The Attorney General or the person who applied for a termination order may appeal from a decision of the court made under subsection 490.027(1) on any ground of appeal that raises a question of law or of mixed law and fact. The appeal court may dismiss the appeal, or allow it and order a new hearing, quash the termination order or make an order that may be made under that subsection.",,,,,,,,,
1915,PART XV,Special Procedure and Powers,Sex Offender Information,Appeal,490.029,,(2),"If the appeal court makes an order that may be made under subsection 490.027(1), it shall cause the Commissioner of the Royal Canadian Mounted Police and the Attorney General of the province, or the minister of justice of the territory, in which the application for the order was made to be notified of the decision.",,,,,,,,,
396,PART XV,Special Procedure and Powers,Sex Offender Information,Obligation,490.02901,A person who is served with a notice in Form 54 shall comply with the Sex Offender Information Registration Act for the applicable period specified in section 490.02904 unless a court makes an exemption order under subsection 490.02905(2).,,,,,,,,,,,
1916,PART XV,Special Procedure and Powers,Sex Offender Information,Persons who may be served,490.02902,,(1),"The Attorney General of a province, or the minister of justice of a territory, may serve a person with a notice in Form 54 only if the person arrived in Canada after the coming into force of this subsection and they were convicted of or found not criminally responsible on account of mental disorder for an offence outside Canada — other than a service offence as defined in subsection 2(1) of the National Defence Act — that is, in the opinion of the Attorney General or minister of justice, equivalent to an offence referred to in paragraph (a) of the definition designated offence in subsection 490.011(1).",,,,,,,,,
1917,PART XV,Special Procedure and Powers,Sex Offender Information,Persons who may be served,490.02902,,(2),The notice shall not be served on a person who has been acquitted of every offence in connection with which a notice may be served on them under section 490.02903.,,,,,,,,,
1918,PART XV,Special Procedure and Powers,Sex Offender Information,Period for and method of service,490.02903,,(1),A notice in Form 54 shall be personally served.,,,,,,,,,
5299,PART XV,Special Procedure and Powers,Sex Offender Information,Period for and method of service,490.02903,,(2),"An affidavit of the person who served the notice, sworn before a commissioner or other person authorized to take affidavits, is evidence of the service and the notice if it sets out that",Proof of service,(a),the person who served the notice has charge of the appropriate records and has knowledge of the facts in the particular case;,,,,,,
5300,PART XV,Special Procedure and Powers,Sex Offender Information,Period for and method of service,490.02903,,(2),"An affidavit of the person who served the notice, sworn before a commissioner or other person authorized to take affidavits, is evidence of the service and the notice if it sets out that",Proof of service,(b),the notice was personally served on the person to whom it was directed on a named day; and,,,,,,
5301,PART XV,Special Procedure and Powers,Sex Offender Information,Period for and method of service,490.02903,,(2),"An affidavit of the person who served the notice, sworn before a commissioner or other person authorized to take affidavits, is evidence of the service and the notice if it sets out that",Proof of service,(c),the person who served the notice identifies a true copy of the notice as an exhibit attached to the affidavit.,,,,,,
1919,PART XV,Special Procedure and Powers,Sex Offender Information,Period for and method of service,490.02903,,(3),"The person who served the notice shall, without delay, send a copy of the affidavit and the notice to the Attorney General of the province, or the minister of justice of the territory, in which the person was served.",,,,,,,,,
1920,PART XV,Special Procedure and Powers,Sex Offender Information,When obligation begins,490.02904,,(1),The obligation under section 490.02901 begins on the day on which the person is served with the notice.,,,,,,,,,
1921,PART XV,Special Procedure and Powers,Sex Offender Information,When obligation begins,490.02904,,(2),The obligation ends on the day on which an exemption order is made.,,,,,,,,,
5302,PART XV,Special Procedure and Powers,Sex Offender Information,When obligation begins,490.02904,,(3),"If subsection (2) does not apply, the obligation",Duration of obligation,(a),ends 10 years after the person was sentenced or found not criminally responsible on account of mental disorder if the maximum term of imprisonment provided for in Canadian law for the equivalent offence is two or five years;,,,,,,
5303,PART XV,Special Procedure and Powers,Sex Offender Information,When obligation begins,490.02904,,(3),"If subsection (2) does not apply, the obligation",Duration of obligation,(b),ends 20 years after the person was sentenced or found not criminally responsible on account of mental disorder if the maximum term of imprisonment provided for in Canadian law for the equivalent offence is 10 or 14 years;,,,,,,
5304,PART XV,Special Procedure and Powers,Sex Offender Information,When obligation begins,490.02904,,(3),"If subsection (2) does not apply, the obligation",Duration of obligation,(c),applies for life if the maximum term of imprisonment provided for in Canadian law for the equivalent offence is life; or,,,,,,
5305,PART XV,Special Procedure and Powers,Sex Offender Information,When obligation begins,490.02904,,(3),"If subsection (2) does not apply, the obligation",Duration of obligation,(d),"applies for life if, before or after the coming into force of this paragraph, the person was convicted of, or found not criminally responsible on account of mental disorder for, more than one offence referred to in paragraph (a), (c), (c.1), (d), (d.1) or (e) of the definition designated offence in subsection 490.011(1) or referred to in paragraph (a) or (c) of the definition designated offence in section 227 of the National Defence Act and if more than one of those offences is listed in the notice.",,,,,,
1922,PART XV,Special Procedure and Powers,Sex Offender Information,Application for exemption order,490.02905,,(1),A person who is served with a notice in Form 54 under section 490.02903 may apply to a court of criminal jurisdiction for an order exempting them from the obligation within one year after they are served.,,,,,,,,,
6791,PART XV,Special Procedure and Powers,Sex Offender Information,Application for exemption order,490.02905,,(2),The court,Exemption order,(a),shall make an exemption order if it is satisfied that the person has established that,(i),"they were not convicted of or found not criminally responsible on account of mental disorder for or were acquitted of the offence in question, or",,,,
6792,PART XV,Special Procedure and Powers,Sex Offender Information,Application for exemption order,490.02905,,(2),The court,Exemption order,(a),shall make an exemption order if it is satisfied that the person has established that,(ii),the offence in question is not equivalent to an offence referred to in paragraph (a) of the definition designated offence in subsection 490.011(1); and,,,,
5306,PART XV,Special Procedure and Powers,Sex Offender Information,Application for exemption order,490.02905,,(2),The court,Exemption order,(b),shall order that the notice be corrected if it is satisfied that the offence in question is not equivalent to the offence referred to in the notice but is equivalent to another offence referred to in paragraph (a) of the definition designated offence in subsection 490.011(1).,,,,,,
1923,PART XV,Special Procedure and Powers,Sex Offender Information,Application for exemption order,490.02905,,(3),The court shall give reasons for its decision.,,,,,,,,,
1924,PART XV,Special Procedure and Powers,Sex Offender Information,Application for exemption order,490.02905,,(4),"If the court makes an exemption order, it shall also make an order requiring the Royal Canadian Mounted Police to permanently remove from the database all information that relates to the person that was registered in the database on receipt of the copy of the notice.",,,,,,,,,
1925,PART XV,Special Procedure and Powers,Sex Offender Information,Application for exemption order,490.02905,,(5),"If the court makes an order referred to in paragraph (2)(b), it shall cause the Commissioner of the Royal Canadian Mounted Police and the Attorney General of the province, or the minister of justice of the territory, in which the application for the order was made to be notified of the decision.",,,,,,,,,
5307,PART XV,Special Procedure and Powers,Sex Offender Information,Appeal,490.02906,,(1),The Attorney General or the person who applied for an exemption order may appeal from a decision under subsection 490.02905(2) on any ground of appeal that raises a question of law or of mixed law and fact. The appeal court may,,(a),dismiss the appeal;,,,,,,
5308,PART XV,Special Procedure and Powers,Sex Offender Information,Appeal,490.02906,,(1),The Attorney General or the person who applied for an exemption order may appeal from a decision under subsection 490.02905(2) on any ground of appeal that raises a question of law or of mixed law and fact. The appeal court may,,(b),allow the appeal and order a new hearing;,,,,,,
5309,PART XV,Special Procedure and Powers,Sex Offender Information,Appeal,490.02906,,(1),The Attorney General or the person who applied for an exemption order may appeal from a decision under subsection 490.02905(2) on any ground of appeal that raises a question of law or of mixed law and fact. The appeal court may,,(c),quash the exemption order; or,,,,,,
5310,PART XV,Special Procedure and Powers,Sex Offender Information,Appeal,490.02906,,(1),The Attorney General or the person who applied for an exemption order may appeal from a decision under subsection 490.02905(2) on any ground of appeal that raises a question of law or of mixed law and fact. The appeal court may,,(d),make an order that may be made under that subsection.,,,,,,
1926,PART XV,Special Procedure and Powers,Sex Offender Information,Appeal,490.02906,,(2),"If an appeal court makes an exemption order, it shall also make an order requiring the Royal Canadian Mounted Police to permanently remove from the database all information that relates to the person that was registered in the database on receipt of the copy of the notice.",,,,,,,,,
397,PART XV,Special Procedure and Powers,Sex Offender Information,Requirements relating to notice,490.02907,"If an appeal court quashes an exemption order, it shall cause the Commissioner of the Royal Canadian Mounted Police and the Attorney General of the province, or the minister of justice of the territory, in which the application for the order was made to be notified of the decision and shall cause the person who applied for the order to be informed of sections 4 to 7.1 of the Sex Offender Information Registration Act, sections 490.031 and 490.0311 of this Act and section 119.1 of the National Defence Act.",,,,,,,,,,,
1927,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.02908,,(1),"A person who is subject to an obligation under section 490.02901 may apply to a court of criminal jurisdiction for a termination order unless they are also subject to another obligation under that section — or to an obligation under section 490.019, under section 227.06 of the National Defence Act or under section 36.1 of the International Transfer of Offenders Act or an order under section 490.012 or under section 227.01 of the National Defence Act — that began later.",,,,,,,,,
5311,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.02908,,(2),The person may apply for a termination order if the following period has elapsed since the sentence was imposed or the verdict of not criminally responsible on account of mental disorder was rendered:,Time for application — one offence,(a),five years if the maximum term of imprisonment provided for in Canadian law for the equivalent offence is two or five years;,,,,,,
5312,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.02908,,(2),The person may apply for a termination order if the following period has elapsed since the sentence was imposed or the verdict of not criminally responsible on account of mental disorder was rendered:,Time for application — one offence,(b),10 years if the maximum term of imprisonment provided for in Canadian law for the equivalent offence is 10 or 14 years; or,,,,,,
5313,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.02908,,(2),The person may apply for a termination order if the following period has elapsed since the sentence was imposed or the verdict of not criminally responsible on account of mental disorder was rendered:,Time for application — one offence,(c),20 years if the maximum term of imprisonment provided for in Canadian law for the equivalent offence is life.,,,,,,
1928,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.02908,,(3),"If more than one offence is listed in the notice served under section 490.02903, the person may apply for a termination order if 20 years have elapsed since the sentence was imposed, or the verdict of not criminally responsible on account of mental disorder was rendered, for the most recent offence.",,,,,,,,,
1929,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.02908,,(4),A person whose application is refused may apply again if five years have elapsed since the application was made.,,,,,,,,,
1930,PART XV,Special Procedure and Powers,Sex Offender Information,Termination order,490.02909,,(1),"The court shall make an order terminating the obligation if it is satisfied that the person has established that the impact on them of continuing the obligation, including on their privacy or liberty, would be grossly disproportionate to the public interest in protecting society through the effective prevention or investigation of crimes of a sexual nature to be achieved by the registration of information relating to sex offenders under the Sex Offender Information Registration Act.",,,,,,,,,
1931,PART XV,Special Procedure and Powers,Sex Offender Information,Termination order,490.02909,,(2),The court shall give reasons for its decision.,,,,,,,,,
1932,PART XV,Special Procedure and Powers,Sex Offender Information,Termination order,490.02909,,(3),"If the court makes a termination order, it shall cause the Commissioner of the Royal Canadian Mounted Police and the Attorney General of the province, or the minister of justice of the territory, to be notified of the decision.",,,,,,,,,
1933,PART XV,Special Procedure and Powers,Sex Offender Information,Appeal,490.0291,,(1),"The Attorney General or the person who applied for a termination order may appeal from a decision under subsection 490.02909(1) on any ground of appeal that raises a question of law or of mixed law and fact. The appeal court may dismiss the appeal, allow the appeal and order a new hearing, quash the termination order or make an order that may be made under that subsection.",,,,,,,,,
1934,PART XV,Special Procedure and Powers,Sex Offender Information,Appeal,490.0291,,(2),"If the appeal court makes an order that may be made under subsection 490.02909(1), it shall cause the Commissioner of the Royal Canadian Mounted Police and the Attorney General of the province, or the minister of justice of the territory, in which the application for the order was made to be notified of the decision.",,,,,,,,,
1935,PART XV,Special Procedure and Powers,Sex Offender Information,Obligation to advise police service,490.02911,,(1),"A person who was convicted of or found not criminally responsible on account of mental disorder for an offence outside Canada shall, if the offence is equivalent to one referred to in paragraph (a) of the definition designated offence in subsection 490.011(1), advise a police service within seven days after the day on which they arrive in Canada of that fact and of their name, date of birth, gender and address. They are not required to so advise the police service again unless they are later convicted of or found not criminally responsible on account of mental disorder for another such offence.",,,,,,,,,
1936,PART XV,Special Procedure and Powers,Sex Offender Information,Obligation to advise police service,490.02911,,(2),"The person shall, if they are in Canada, advise a police service of a change in address within seven days after the day on which the change is made.",,,,,,,,,
1937,PART XV,Special Procedure and Powers,Sex Offender Information,Obligation to advise police service,490.02911,,(3),"The police service shall cause the Attorney General of the province, or the minister of justice of the territory, in which it is located to be provided with the information.",,,,,,,,,
1938,PART XV,Special Procedure and Powers,Sex Offender Information,Obligation to advise police service,490.02911,,(4),"A person’s obligation under subsection (2) ends when they are served under section 490.02902 or, if it is earlier, one year after the day on which they advise the police service under subsection (1).",,,,,,,,,
1939,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.02912,,(1),A person who is subject to an obligation under section 36.1 of the International Transfer of Offenders Act may apply to a court of criminal jurisdiction for a termination order unless they are also subject to an obligation under section 490.019 or 490.02901 or under section 227.06 of the National Defence Act — or to an order under section 490.012 or under section 227.01 of the National Defence Act — that began later.,,,,,,,,,
5314,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.02912,,(2),The person may apply for a termination order if the following period has elapsed since the sentence was imposed or the verdict of not criminally responsible on account of mental disorder was rendered:,Time for application — one offence,(a),five years if the maximum term of imprisonment provided for in Canadian law for the equivalent offence is two or five years;,,,,,,
5315,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.02912,,(2),The person may apply for a termination order if the following period has elapsed since the sentence was imposed or the verdict of not criminally responsible on account of mental disorder was rendered:,Time for application — one offence,(b),10 years if the maximum term of imprisonment provided for in Canadian law for the equivalent offence is 10 or 14 years; or,,,,,,
5316,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.02912,,(2),The person may apply for a termination order if the following period has elapsed since the sentence was imposed or the verdict of not criminally responsible on account of mental disorder was rendered:,Time for application — one offence,(c),20 years if the maximum term of imprisonment provided for in Canadian law for the equivalent offence is life.,,,,,,
1940,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.02912,,(3),"If more than one offence is listed in the copy of the Form 1 that was delivered under subparagraph 8(4)(a)(ii) of the International Transfer of Offenders Act, the person may apply for a termination order if 20 years have elapsed since the sentence was imposed, or the verdict of not criminally responsible on account of mental disorder was rendered, for the most recent offence.",,,,,,,,,
1941,PART XV,Special Procedure and Powers,Sex Offender Information,Application for termination order,490.02912,,(4),A person whose application is refused may apply again if five years have elapsed since the application was made.,,,,,,,,,
1942,PART XV,Special Procedure and Powers,Sex Offender Information,Termination order,490.02913,,(1),"The court shall make an order terminating the obligation if it is satisfied that the person has established that the impact on them of continuing the obligation, including on their privacy or liberty, would be grossly disproportionate to the public interest in protecting society through the effective prevention or investigation of crimes of a sexual nature to be achieved by the registration of information relating to sex offenders under the Sex Offender Information Registration Act.",,,,,,,,,
1943,PART XV,Special Procedure and Powers,Sex Offender Information,Termination order,490.02913,,(2),The court shall give reasons for its decision.,,,,,,,,,
1944,PART XV,Special Procedure and Powers,Sex Offender Information,Termination order,490.02913,,(3),"If the court makes a termination order, it shall cause the Commissioner of the Royal Canadian Mounted Police and the Attorney General of the province, or the minister of justice of the territory, to be notified of the decision.",,,,,,,,,
1945,PART XV,Special Procedure and Powers,Sex Offender Information,Appeal,490.02914,,(1),"The Attorney General or the person who applied for a termination order may appeal from a decision under subsection 490.02913(1) on any ground of appeal that raises a question of law or of mixed law and fact. The appeal court may dismiss the appeal, allow the appeal and order a new hearing, quash the termination order or make an order that may be made under that subsection.",,,,,,,,,
1946,PART XV,Special Procedure and Powers,Sex Offender Information,Appeal,490.02914,,(2),"If the appeal court makes an order that may be made under subsection 490.02913(1), it shall cause the Commissioner of the Royal Canadian Mounted Police and the Attorney General of the province, or the minister of justice of the territory, in which the application for the order was made to be notified of the decision.",,,,,,,,,
1947,PART XV,Special Procedure and Powers,Sex Offender Information,Notice before release,490.02915,,(1),"The person in charge of the place in which a person who is subject to an obligation under section 36.1 of the International Transfer of Offenders Act is serving the custodial portion of a sentence, or is detained in custody before their release or discharge, shall give the person a copy of the Form 1 referred to in subsection 490.02912(3) not earlier than 10 days before their release or discharge.",,,,,,,,,
5317,PART XV,Special Procedure and Powers,Sex Offender Information,Notice before release,490.02915,,(2),A Review Board shall cause a copy of the Form 1 to be given to the person when it directs,Notice on disposition by Review Board,(a),"under paragraph 672.54(a), that the person be discharged absolutely; or",,,,,,
5318,PART XV,Special Procedure and Powers,Sex Offender Information,Notice before release,490.02915,,(2),A Review Board shall cause a copy of the Form 1 to be given to the person when it directs,Notice on disposition by Review Board,(b),"under paragraph 672.54(b), that the person be discharged subject to conditions unless the conditions restrict the person’s liberty in a manner and to an extent that prevent them from complying with sections 4, 4.1, 4.3 and 6 of the Sex Offender Information Registration Act.",,,,,,
5319,PART XV,Special Procedure and Powers,Sex Offender Information,Disclosure,490.03,,(1),"The Commissioner of the Royal Canadian Mounted Police or a person authorized by the Commissioner shall, on request, disclose information that is registered in the database or the fact that such information is registered in the database",,(a),to the prosecutor if the disclosure is necessary for the purpose of a proceeding under section 490.012; or,,,,,,
5320,PART XV,Special Procedure and Powers,Sex Offender Information,Disclosure,490.03,,(1),"The Commissioner of the Royal Canadian Mounted Police or a person authorized by the Commissioner shall, on request, disclose information that is registered in the database or the fact that such information is registered in the database",,(b),"to the Attorney General if the disclosure is necessary for the purpose of a proceeding under subsection 490.016(1), 490.023(2), 490.027(1), 490.02905(2), 490.02909(1) or 490.02913(1) or for the purpose of an appeal from a decision made in any of those proceedings or in a proceeding under subsection 490.012(2).",,,,,,
1948,PART XV,Special Procedure and Powers,Sex Offender Information,Disclosure,490.03,,(2),"The Commissioner or that person shall, on request, disclose to the prosecutor or Attorney General the information that is registered in the database relating to a person if the person discloses, in connection with a proceeding or appeal other than one referred to in subsection (1), the fact that information relating to them is registered in the database.",,,,,,,,,
1949,PART XV,Special Procedure and Powers,Sex Offender Information,Disclosure,490.03,,(3),"The prosecutor or the Attorney General may, if the information is relevant to the proceeding, appeal or any subsequent appeal, disclose it to the presiding court.",,,,,,,,,
1950,PART XV,Special Procedure and Powers,Sex Offender Information,Disclosure,490.03,,(4),"[Repealed, 2007, c. 5, s. 27]",,,,,,,,,
5322,PART XV,Special Procedure and Powers,Sex Offender Information,Offence,490.031,,(1),"Every person who, without reasonable excuse, fails to comply with an order made under section 490.012 or under section 227.01 of the National Defence Act or with an obligation under section 490.019 or 490.02901, under section 227.06 of the National Defence Act or under section 36.1 of the International Transfer of Offenders Act is guilty of an offence and liable",,(b),"on summary conviction, to a fine of not more than $10,000 or to imprisonment for a term of not more than two years less a day, or to both.",,,,,,
5321,PART XV,Special Procedure and Powers,Sex Offender Information,Offence,490.031,,(1),"Every person who, without reasonable excuse, fails to comply with an order made under section 490.012 or under section 227.01 of the National Defence Act or with an obligation under section 490.019 or 490.02901, under section 227.06 of the National Defence Act or under section 36.1 of the International Transfer of Offenders Act is guilty of an offence and liable",,(a),"on conviction on indictment, to a fine of not more than $10,000 or to imprisonment for a term of not more than two years, or to both; or",,,,,,
1951,PART XV,Special Procedure and Powers,Sex Offender Information,Offence,490.031,,(2),"For greater certainty, a lawful command that prevents a person from complying with an order or obligation is a reasonable excuse if, at the time, the person is subject to the Code of Service Discipline within the meaning of subsection 2(1) of the National Defence Act.",,,,,,,,,
1952,PART XV,Special Procedure and Powers,Sex Offender Information,Offence,490.031,,(3),"In proceedings under subsection (1), a certificate of a person referred to in paragraph 16(2)(b) of the Sex Offender Information Registration Act stating that the sex offender failed to report under section 4, 4.1, 4.2 or 4.3 — or provide information under section 5 or notify a person under subsection 6(1) — of that Act is evidence of the statements contained in it without proof of the signature or official character of the person appearing to have signed it.",,,,,,,,,
1953,PART XV,Special Procedure and Powers,Sex Offender Information,Offence,490.031,,(4),"The sex offender named in the certificate may, with the leave of the court, require the attendance of the person who signed it for the purpose of cross-examination.",,,,,,,,,
1954,PART XV,Special Procedure and Powers,Sex Offender Information,Offence,490.031,,(5),"A certificate is not to be received in evidence unless, before the commencement of the trial, the party who intends to produce it gives the sex offender a copy of it and reasonable notice of their intention to produce it.",,,,,,,,,
398,PART XV,Special Procedure and Powers,Sex Offender Information,Offence,490.0311,Every person who knowingly provides false or misleading information under subsection 5(1) or 6(1) of the Sex Offender Information Registration Act is guilty of an offence and liable,,,,,,,,,,,
399,PART XV,Special Procedure and Powers,Sex Offender Information,Offence,490.0312,"Every person who, without reasonable excuse, fails to comply with an obligation under subsection 490.02911(1) or (2) is guilty of an offence punishable on summary conviction.",,,,,,,,,,,
400,PART XV,Special Procedure and Powers,Sex Offender Information,Regulations,490.032,The Governor in Council may make regulations,,,,,,,,,,,
5323,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Order of forfeiture of property on conviction,490.1,,(1),"Subject to sections 490.3 to 490.41, if a person is convicted, or discharged under section 730, of an indictable offence under this Act or the Corruption of Foreign Public Officials Act and, on application of the Attorney General, the court is satisfied, on a balance of probabilities, that offence-related property is related to the commission of the offence, the court shall",,(a),"if the prosecution of the offence was commenced at the instance of the government of a province and conducted by or on behalf of that government, order that the property be forfeited to Her Majesty in right of that province to be disposed of or otherwise dealt with in accordance with the law by the Attorney General or Solicitor General of that province; and",,,,,,
5324,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Order of forfeiture of property on conviction,490.1,,(1),"Subject to sections 490.3 to 490.41, if a person is convicted, or discharged under section 730, of an indictable offence under this Act or the Corruption of Foreign Public Officials Act and, on application of the Attorney General, the court is satisfied, on a balance of probabilities, that offence-related property is related to the commission of the offence, the court shall",,(b),"in any other case, order that the property be forfeited to Her Majesty in right of Canada to be disposed of or otherwise dealt with in accordance with the law by the member of the Queen’s Privy Council for Canada that is designated by the Governor in Council for the purpose of this paragraph.",,,,,,
1955,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Order of forfeiture of property on conviction,490.1,,(1.1),"[Repealed, 2001, c. 41, s. 130]",,,,,,,,,
1956,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Order of forfeiture of property on conviction,490.1,,(2),"Subject to sections 490.3 to 490.41, if the evidence does not establish to the satisfaction of the court that property in respect of which an order of forfeiture would otherwise be made under subsection (1) is related to the commission of the indictable offence under this Act or the Corruption of Foreign Public Officials Act of which a person is convicted or discharged, but the court is satisfied, beyond a reasonable doubt, that the property is offence-related property, the court may make an order of forfeiture under subsection (1) in relation to that property.",,,,,,,,,
1957,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Order of forfeiture of property on conviction,490.1,,(2.1),"An order may be issued under this section in respect of property situated outside Canada, with any modifications that the circumstances require.",,,,,,,,,
1958,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Order of forfeiture of property on conviction,490.1,,(3),"A person who has been convicted of an indictable offence under this Act or the Corruption of Foreign Public Officials Act, or the Attorney General, may appeal to the court of appeal from an order or a failure to make an order under subsection (1) as if the appeal were an appeal against the sentence imposed on the person in respect of the offence.",,,,,,,,,
1959,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Application for in rem forfeiture,490.2,,(1),"If an information has been laid in respect of an indictable offence under this Act or the Corruption of Foreign Public Officials Act, the Attorney General may make an application to a judge for an order of forfeiture under subsection (2).",,,,,,,,,
5325,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Application for in rem forfeiture,490.2,,(2),"Subject to sections 490.3 to 490.41, the judge to whom an application is made under subsection (1) shall order that the property that is subject to the application be forfeited and disposed of in accordance with subsection (4) if the judge is satisfied",Order of forfeiture of property,(a),beyond a reasonable doubt that the property is offence-related property;,,,,,,
5326,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Application for in rem forfeiture,490.2,,(2),"Subject to sections 490.3 to 490.41, the judge to whom an application is made under subsection (1) shall order that the property that is subject to the application be forfeited and disposed of in accordance with subsection (4) if the judge is satisfied",Order of forfeiture of property,(b),that proceedings in respect of an indictable offence under this Act or the Corruption of Foreign Public Officials Act in relation to the property were commenced; and,,,,,,
5327,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Application for in rem forfeiture,490.2,,(2),"Subject to sections 490.3 to 490.41, the judge to whom an application is made under subsection (1) shall order that the property that is subject to the application be forfeited and disposed of in accordance with subsection (4) if the judge is satisfied",Order of forfeiture of property,(c),that the accused charged with the offence has died or absconded.,,,,,,
5328,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Application for in rem forfeiture,490.2,,(3),"For the purpose of subsection (2), an accused is deemed to have absconded in connection with the indictable offence if",Accused deemed absconded,(a),"an information has been laid alleging the commission of the offence by the accused,",,,,,,
5329,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Application for in rem forfeiture,490.2,,(3),"For the purpose of subsection (2), an accused is deemed to have absconded in connection with the indictable offence if",Accused deemed absconded,(b),"a warrant for the arrest of the accused has been issued in relation to that information, and",,,,,,
5330,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Application for in rem forfeiture,490.2,,(3),"For the purpose of subsection (2), an accused is deemed to have absconded in connection with the indictable offence if",Accused deemed absconded,(c),"reasonable attempts to arrest the accused under the warrant have been unsuccessful during a period of six months beginning on the day on which the warrant was issued,",,,,,,
5331,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Application for in rem forfeiture,490.2,,(4),"For the purpose of subsection (2), the judge shall",Who may dispose of forfeited property,(a),"if the prosecution of the offence was commenced at the instance of the government of a province and conducted by or on behalf of that government, order that the property be forfeited to Her Majesty in right of that province to be disposed of or otherwise dealt with in accordance with the law by the Attorney General or Solicitor General of that province; and",,,,,,
5332,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Application for in rem forfeiture,490.2,,(4),"For the purpose of subsection (2), the judge shall",Who may dispose of forfeited property,(b),"in any other case, order that the property be forfeited to Her Majesty in right of Canada to be disposed of or otherwise dealt with in accordance with the law by the member of the Queen’s Privy Council for Canada that is designated by the Governor in Council for the purpose of this paragraph.",,,,,,
1960,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Application for in rem forfeiture,490.2,,(4.1),"An order may be issued under this section in respect of property situated outside Canada, with any modifications that the circumstances require.",,,,,,,,,
1961,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Application for in rem forfeiture,490.2,,(5),"In this section and sections 490.5 and 490.8, judge means a judge as defined in section 552 or a judge of a superior court of criminal jurisdiction.",,,,,,,,,
401,PART XV,Special Procedure and Powers,Forfeiture of Offence-related Property,Voidable transfers,490.3,"A court may, before ordering that offence-related property be forfeited under subsection 490.1(1) or 490.2(2), set aside any conveyance or transfer of the property that occurred after the seizure of the property, or the making of a restraint order in respect of the property, unless the conveyance or transfer was for valuable consideration to a person acting in good faith.",,,,,,,,,,,
